date,repository,referrer,count
2025-07-04,nasa/ECOSTRESS-Data-Resources,ecostress.jpl.nasa.gov,1
2025-07-04,nasa/ECOSTRESS-Data-Resources,cn.bing.com,1
2025-07-04,nasa/EMIT-Data-Resources,Google,253
2025-07-04,nasa/EMIT-Data-Resources,github.com,36
2025-07-04,nasa/EMIT-Data-Resources,Bing,28
2025-07-04,nasa/EMIT-Data-Resources,chatgpt.com,17
2025-07-04,nasa/EMIT-Data-Resources,cn.bing.com,7
2025-07-04,nasa/EMIT-Data-Resources,notebooks.githubusercontent.com,6
2025-07-04,nasa/EMIT-Data-Resources,DuckDuckGo,2
2025-07-04,nasa/EMIT-Data-Resources,statics.gov.teams.microsoft.us,2
2025-07-04,nasa/EMIT-Data-Resources,nasa-openscapes.github.io,1
2025-07-04,nasa/EMIT-Data-Resources,t.co,1
2025-07-04,nasa/GEDI-Data-Resources,Google,80
2025-07-04,nasa/GEDI-Data-Resources,claude6.claudechat.pro,33
2025-07-04,nasa/GEDI-Data-Resources,git.earthdata.nasa.gov,26
2025-07-04,nasa/GEDI-Data-Resources,cn.bing.com,24
2025-07-04,nasa/GEDI-Data-Resources,notebooks.githubusercontent.com,15
2025-07-04,nasa/GEDI-Data-Resources,github.com,15
2025-07-04,nasa/GEDI-Data-Resources,Bing,14
2025-07-04,nasa/GEDI-Data-Resources,forum.earthdata.nasa.gov,11
2025-07-04,nasa/GEDI-Data-Resources,chatgpt.com,2
2025-07-04,nasa/GEDI-Data-Resources,statics.teams.cdn.office.net,2
